"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","Sarah","100","100","100","100","3","3","3","3","3","3","0"
"medium","Sarah","100","100","100","100","3","3","3","3","3","2","15"
"medium","Sarah","100","100","100","100","3","3","3","3","3","1","15"
"medium","Sarah","100","100","100","100","3","3","3","3","3","0","30"
"medium","Sarah","100","100","100","100","3","3","3","3","3","-1","30"
"medium","Sarah","100","100","100","100","3","3","3","3","3","-2","30"
"medium","Sarah","100","100","100","100","3","3","3","3","3","-3","45"
"medium","Sarah","100","88","88","94","3","3","3","3","3","-3","90"
"medium","Sarah","100","88","88","94","3","3","3","3","3","-4","90"
"medium","Sarah","100","88","88","100","3","3","3","3","3","-4","90"
"medium","Sarah","100","88","88","100","3","3","3","3","2","-4","105"
"medium","Sarah","100","88","88","100","3","3","3","3","1","-4","105"
"medium","Sarah","100","88","88","100","3","3","3","3","0","-4","105"
"medium","Sarah","100","88","88","100","3","3","3","2","0","-4","120"
"medium","Sarah","100","88","88","100","3","3","3","1","0","-4","120"
"medium","Sarah","100","88","88","100","3","3","3","0","0","-4","135"
"medium","Sarah","100","82","82","100","3","3","3","0","0","-4","135"
