"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","aaa","100","100","100","100","3","3","3","3","3","3","0"
"hard","aaa","100","100","100","100","3","2","3","3","3","3","235"
"hard","aaa","100","100","100","100","3","1","3","3","3","3","265"
"hard","aaa","100","100","100","100","3","0","3","3","3","3","280"
"hard","aaa","100","64","82","97","3","0","3","3","3","3","280"
"hard","aaa","100","64","82","97","3","0","3","3","3","3","280"
"hard","aaa","100","64","82","97","2","0","3","3","3","3","310"
"hard","aaa","100","64","82","97","2","0","2","3","3","3","340"
"hard","aaa","100","64","82","97","2","0","1","3","3","3","355"
"hard","aaa","100","64","82","97","1","0","1","3","3","3","370"
"hard","aaa","100","55","100","88","1","0","1","3","3","3","370"
"hard","aaa","100","55","100","88","1","0","1","3","3","3","370"
"hard","aaa","100","55","100","88","0","0","1","3","3","3","445"
"hard","aaa","100","37","94","70","0","0","1","3","3","3","475"
"hard","aaa","100","37","94","70","0","0","1","3","3","3","475"
"hard","aaa","100","37","94","70","0","0","1","3","3","3","475"
"hard","aaa","97","76","70","46","0","0","1","3","3","3","490"
"hard","aaa","97","76","70","46","0","0","1","3","2","3","685"
"hard","aaa","97","76","70","46","0","0","1","2","2","3","705"
"hard","aaa","97","76","70","46","0","0","1","1","2","3","740"
"hard","aaa","97","76","70","46","0","0","1","0","2","3","760"
"hard","aaa","97","76","70","46","0","0","1","0","2","2","815"
"hard","aaa","97","76","70","46","0","0","0","0","2","2","890"
"hard","aaa","97","76","70","46","0","0","0","0","2","1","960"
"hard","aaa","94","88","0","13","0","0","0","0","2","1","1020"
"hard","aaa","94","88","0","13","0","0","0","0","2","1","1020"
"hard","aaa","94","85","0","10","0","0","0","0","2","1","1035"
