"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"easy","builder","100","100","100","100","3","3","3","3","3","3","0"
"easy","builder","100","100","100","100","3","3","2","3","3","3","270"
"easy","builder","100","100","100","100","3","3","1","3","3","3","385"
"easy","builder","100","76","97","99","4","5","3","5","3","4","440"
"easy","builder","100","76","97","99","4","5","3","4","3","4","455"
"easy","builder","100","76","97","99","4","5","3","3","3","4","455"
"easy","builder","100","76","97","99","4","5","3","2","3","4","455"
"easy","builder","100","76","97","99","4","5","3","1","3","4","470"
"easy","builder","100","76","97","99","4","5","3","0","3","4","470"
"easy","builder","100","76","97","99","4","4","3","0","3","4","470"
"easy","builder","100","76","97","99","3","4","3","0","3","4","485"
"easy","builder","100","76","97","99","2","4","3","0","3","4","485"
"easy","builder","100","76","97","99","1","4","3","0","3","4","500"
"easy","builder","100","76","97","99","0","4","3","0","3","4","500"
"easy","builder","100","76","97","99","0","3","3","0","3","4","515"
"easy","builder","100","76","97","99","0","2","3","0","3","4","515"
"easy","builder","100","76","97","99","0","1","3","0","3","4","515"
"easy","builder","100","76","97","99","0","0","3","0","3","4","530"
"easy","builder","100","76","97","99","0","0","2","0","3","4","530"
"easy","builder","100","76","97","99","0","0","1","0","3","4","545"
"easy","builder","100","76","97","99","0","0","0","0","3","4","545"
"easy","builder","100","58","89","91","2","1","1","0","3","15","745"
"easy","builder","100","58","89","91","2","1","0","0","3","15","760"
"easy","builder","100","58","89","91","2","0","0","0","3","15","760"
"easy","builder","100","58","89","91","1","0","0","0","3","15","775"
"easy","builder","100","58","89","91","0","0","0","0","3","15","775"
"easy","builder","100","58","89","91","0","0","0","0","2","15","810"
"easy","builder","100","58","89","91","0","0","0","0","1","15","810"
"easy","builder","100","58","89","91","0","0","0","0","0","15","810"
"easy","builder","100","58","89","91","0","0","0","0","0","14","825"
"easy","builder","100","58","89","91","0","0","0","0","0","13","825"
"easy","builder","100","58","89","91","0","0","0","0","0","12","825"
"easy","builder","100","58","89","91","0","0","0","0","0","11","840"
"easy","builder","100","58","89","91","0","0","0","0","0","10","840"
"easy","builder","100","41","84","95","17","0","3","0","1","10","1075"
"easy","builder","100","31","74","91","17","23","3","0","1","11","1255"
