"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","doggy","100","100","100","100","3","3","3","3","3","3","0"
"medium","doggy","100","100","100","100","2","3","3","3","3","3","0"
"medium","doggy","100","100","100","100","2","2","3","3","3","3","15"
"medium","doggy","100","94","96","94","2","2","3","3","4","3","45"
"medium","doggy","100","88","90","88","4","2","3","3","4","3","90"
"medium","doggy","100","88","90","88","4","2","2","3","4","3","310"
"medium","doggy","100","66","92","76","5","2","3","4","4","6","325"
"medium","doggy","98","96","68","56","5","2","3","4","11","7","425"
"medium","doggy","98","96","68","56","5","2","2","4","11","7","620"
"medium","doggy","98","96","68","56","5","1","2","4","11","7","635"
"medium","doggy","98","96","68","56","5","0","2","4","11","7","665"
"medium","doggy","98","96","68","56","4","0","2","4","11","7","680"
"medium","doggy","100","68","90","46","5","2","11","5","12","8","770"
