"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","fagnaga","100","100","100","100","3","3","3","3","3","3","0"
"hard","fagnaga","100","100","100","100","3","3","3","3","3","3","0"
"hard","fagnaga","100","0","0","79","3","3","3","3","3","3","665"
"hard","fagnaga","100","0","0","79","3","3","3","3","3","2","720"
"hard","fagnaga","100","0","0","79","3","3","3","3","2","2","795"
"hard","fagnaga","100","0","0","79","3","3","3","3","1","2","855"
"hard","fagnaga","100","0","0","79","3","3","3","3","1","1","895"
"hard","fagnaga","100","0","0","79","3","3","3","2","1","1","915"
"hard","fagnaga","100","0","0","79","2","3","3","2","1","1","945"
"hard","fagnaga","100","0","0","79","2","3","2","2","1","1","990"
"hard","fagnaga","100","0","0","79","2","3","1","2","1","1","1035"
"hard","fagnaga","100","0","0","79","2","3","0","2","1","1","1080"
"hard","fagnaga","100","0","0","79","2","3","0","2","1","0","1785"
"hard","fagnaga","100","0","0","79","2","3","0","2","0","0","1845"
"hard","fagnaga","100","0","0","79","2","3","0","1","0","0","1865"
"hard","fagnaga","100","0","0","79","2","3","0","0","0","0","1885"
"hard","fagnaga","73","82","0","10","2","3","0","0","0","0","1885"
"hard","fagnaga","76","73","-3","0","2","3","0","0","0","0","1920"
"hard","fagnaga","76","70","0","0","2","3","0","0","0","0","1935"
