"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","fnajkgnesa","100","100","100","100","3","3","3","3","3","3","0"
"hard","fnajkgnesa","100","100","100","100","2","3","3","3","3","3","0"
"hard","fnajkgnesa","100","100","100","100","1","3","3","3","3","3","15"
"hard","fnajkgnesa","100","100","100","100","0","3","3","3","3","3","15"
"hard","fnajkgnesa","100","100","100","100","0","2","3","3","3","3","30"
"hard","fnajkgnesa","100","100","100","100","0","2","3","3","2","3","65"
"hard","fnajkgnesa","100","100","100","100","0","2","3","3","1","3","65"
"hard","fnajkgnesa","100","91","97","100","0","2","3","3","1","3","65"
"hard","fnajkgnesa","100","91","97","100","0","2","3","3","1","3","65"
"hard","fnajkgnesa","100","70","76","79","0","2","3","3","1","3","170"
"hard","fnajkgnesa","100","70","76","79","0","2","3","3","1","3","170"
"hard","fnajkgnesa","100","70","76","79","0","2","3","3","1","3","170"
"hard","fnajkgnesa","100","70","76","79","0","2","3","3","1","3","170"
"hard","fnajkgnesa","100","67","73","76","0","2","3","3","1","3","185"
"hard","fnajkgnesa","100","49","55","58","0","2","3","3","1","3","275"
"hard","fnajkgnesa","100","40","46","49","0","2","3","3","1","3","320"
"hard","fnajkgnesa","100","34","40","43","0","2","3","3","1","3","350"
"hard","fnajkgnesa","100","34","40","43","0","2","3","2","1","3","565"
"hard","fnajkgnesa","100","34","40","43","0","2","3","2","0","3","625"
"hard","fnajkgnesa","100","34","40","43","0","2","3","1","0","3","660"
"hard","fnajkgnesa","100","34","40","43","0","2","3","1","0","2","715"
"hard","fnajkgnesa","100","34","40","43","0","2","3","1","0","1","755"
"hard","fnajkgnesa","100","34","40","43","0","2","3","1","0","0","795"
"hard","fnajkgnesa","100","88","25","94","0","2","3","1","0","0","810"
"hard","fnajkgnesa","100","82","19","88","0","2","3","1","0","0","750"
"hard","fnajkgnesa","100","0","0","0","0","2","3","1","0","0","1245"
"hard","fnajkgnesa","100","0","0","0","0","2","3","1","0","0","1245"
"hard","fnajkgnesa","100","0","0","0","0","2","3","1","0","0","1260"
"hard","fnajkgnesa","100","0","0","0","0","2","3","1","0","0","1570"
"hard","fnajkgnesa","100","0","0","0","0","2","2","1","0","0","1615"
"hard","fnajkgnesa","100","0","15","0","0","2","2","1","0","0","1630"
"hard","fnajkgnesa","100","0","9","0","0","2","2","1","0","0","1660"
"hard","fnajkgnesa","100","0","9","0","0","2","2","0","0","0","2150"
"hard","fnajkgnesa","79","79","0","66","0","2","2","0","0","0","2150"
"hard","fnajkgnesa","58","94","0","0","0","2","2","0","0","0","2180"
"hard","fnajkgnesa","52","85","0","0","0","2","2","0","0","0","2195"
"hard","fnajkgnesa","52","82","0","0","0","2","2","0","0","0","2210"
"hard","fnajkgnesa","49","76","0","0","0","2","2","0","0","0","2225"
"hard","fnajkgnesa","37","61","0","0","0","2","2","0","0","0","2240"
"hard","fnajkgnesa","37","61","0","0","0","1","2","0","0","0","2270"
"hard","fnajkgnesa","34","52","3","0","0","1","2","0","0","0","2285"
"hard","fnajkgnesa","34","52","3","0","0","1","2","0","0","0","2285"
"hard","fnajkgnesa","34","52","3","0","0","1","2","0","0","0","2285"
"hard","fnajkgnesa","34","49","0","0","0","1","2","0","0","0","2300"
"hard","fnajkgnesa","34","49","0","0","0","1","2","0","0","0","2300"
"hard","fnajkgnesa","31","43","0","0","0","1","2","0","0","0","2315"
