"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","hardpet","100","100","100","100","3","3","3","3","3","3","0"
"hard","hardpet","100","100","100","100","3","3","2","3","3","3","210"
"hard","hardpet","100","100","100","100","3","2","2","3","3","3","255"
"hard","hardpet","100","100","100","100","3","2","2","2","3","3","355"
"hard","hardpet","100","100","100","100","3","2","2","2","2","3","415"
"hard","hardpet","100","100","100","100","3","2","2","2","2","2","470"
"hard","hardpet","100","100","100","100","3","2","2","2","1","2","695"
"hard","hardpet","100","100","100","100","3","1","2","2","1","2","765"
"hard","hardpet","100","100","100","100","3","1","1","2","1","2","825"
"hard","hardpet","100","100","100","100","3","1","0","2","1","2","885"
"hard","hardpet","100","100","100","100","3","0","0","2","1","2","900"
"hard","hardpet","100","100","100","100","2","0","0","2","1","2","945"
"hard","hardpet","100","100","100","100","2","0","0","2","1","1","965"
"hard","hardpet","100","34","58","97","6","3","1","4","7","3","980"
