"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","hobo","100","100","100","100","3","3","3","3","3","3","0"
"hard","hobo","100","100","100","100","3","3","2","3","3","3","590"
"hard","hobo","100","100","100","100","3","3","1","3","3","3","635"
"hard","hobo","100","100","100","100","3","3","0","3","3","3","680"
"hard","hobo","100","100","100","100","3","2","0","3","3","3","725"
"hard","hobo","100","100","100","100","2","2","0","3","3","3","770"
"hard","hobo","100","100","100","100","1","2","0","3","3","3","800"
"hard","hobo","100","100","100","100","1","2","0","3","2","3","965"
"hard","hobo","100","100","100","100","1","2","0","3","2","2","1020"
"hard","hobo","100","100","100","100","1","2","0","3","1","2","1080"
"hard","hobo","100","100","100","100","1","2","0","3","0","2","1200"
"hard","hobo","100","100","100","100","1","1","0","3","0","2","1215"
"hard","hobo","100","100","100","100","0","1","0","3","0","2","1260"
"hard","hobo","100","100","100","100","0","0","0","3","0","2","1290"
"hard","hobo","0","0","-18","0","0","0","0","3","0","2","1545"
