"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","iii","100","100","100","100","3","3","3","3","3","3","0"
"medium","iii","100","92","92","92","3","3","3","3","3","3","60"
"medium","iii","100","98","62","76","3","3","3","3","3","3","260"
"medium","iii","100","98","62","76","3","3","2","3","3","3","740"
"medium","iii","100","98","62","76","3","3","1","3","3","3","785"
"medium","iii","98","100","46","48","3","3","1","3","3","3","815"
"medium","iii","98","100","46","48","2","3","1","3","3","3","1140"
"medium","iii","100","98","16","72","2","3","1","3","3","3","1170"
"medium","iii","100","98","16","72","2","3","0","3","3","3","1215"
"medium","iii","98","100","12","60","2","3","0","3","3","3","1420"
"medium","iii","98","100","12","60","1","3","0","3","3","3","1485"
"medium","iii","98","100","12","60","0","3","0","3","3","3","1515"
"medium","iii","98","100","12","60","0","2","0","3","3","3","1545"
"medium","iii","98","100","12","60","0","1","0","3","3","3","1560"
"medium","iii","98","100","12","60","0","0","0","3","3","3","1590"
"medium","iii","100","100","30","38","0","0","0","3","3","3","1775"
"medium","iii","100","96","6","30","0","0","0","3","3","3","1965"
