"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","jake","100","100","100","100","3","3","3","3","3","3","0"
"hard","jake","100","100","100","100","3","3","3","2","3","3","15"
"hard","jake","100","100","100","100","3","3","3","2","2","3","30"
"hard","jake","100","100","100","100","3","3","3","1","2","3","30"
"hard","jake","100","100","100","100","3","3","3","0","2","3","30"
"hard","jake","100","100","100","100","3","3","3","0","1","3","45"
"hard","jake","100","100","100","100","3","3","3","0","0","3","60"
"hard","jake","100","16","16","79","3","3","3","0","0","3","505"
"hard","jake","100","16","16","79","2","3","3","0","0","3","550"
"hard","jake","100","16","16","79","1","3","3","0","0","3","580"
"hard","jake","100","16","16","79","0","3","3","0","0","3","625"
"hard","jake","100","16","16","79","0","2","3","0","0","3","655"
"hard","jake","100","16","16","79","0","2","2","0","0","3","700"
"hard","jake","100","16","16","79","0","2","1","0","0","3","760"
"hard","jake","100","16","16","79","0","2","1","0","0","2","815"
"hard","jake","100","16","16","79","0","2","1","0","0","1","855"
"hard","jake","100","16","16","79","0","2","1","0","0","0","910"
"hard","jake","100","82","60","49","0","2","1","0","0","0","920"
"hard","jake","100","82","60","49","0","2","1","0","0","0","920"
