"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","lionel","100","100","100","100","3","3","3","3","3","3","0"
"hard","lionel","100","100","100","100","2","3","3","3","3","3","90"
"hard","lionel","97","97","79","76","2","3","3","3","3","3","135"
"hard","lionel","100","43","19","58","2","3","3","3","3","3","490"
"hard","lionel","100","43","19","58","2","3","2","3","3","3","570"
"hard","lionel","100","43","19","58","2","3","1","3","3","3","615"
"hard","lionel","100","43","19","58","2","3","0","3","3","3","840"
"hard","lionel","100","43","19","58","1","3","0","3","3","3","885"
"hard","lionel","100","43","19","58","0","3","0","3","3","3","930"
"hard","lionel","100","43","19","58","0","2","0","3","3","3","945"
"hard","lionel","100","43","19","58","0","1","0","3","3","3","960"
"hard","lionel","100","43","19","58","0","0","0","3","3","3","1280"
"hard","lionel","97","82","42","91","3","0","0","3","3","3","1295"
"hard","lionel","0","0","0","0","3","1","1","3","30","4","1520"
