"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","mmm","100","100","100","100","3","3","3","3","3","3","0"
"hard","mmm","100","100","100","100","3","2","3","3","3","3","290"
"hard","mmm","100","100","100","100","3","2","2","3","3","3","335"
"hard","mmm","100","100","100","100","2","2","2","3","3","3","380"
"hard","mmm","100","100","100","100","2","2","2","3","3","2","435"
"hard","mmm","100","100","100","100","2","2","1","3","3","2","580"
"hard","mmm","82","0","0","0","6","5","2","6","6","5","1020"
"hard","mmm","82","0","0","0","6","5","2","6","5","5","1490"
"hard","mmm","82","0","0","0","6","4","2","6","5","5","1505"
"hard","mmm","82","0","0","0","6","4","1","6","5","5","1550"
"hard","mmm","82","0","0","0","6","4","0","6","5","5","1595"
"hard","mmm","82","0","0","0","5","4","0","6","5","5","1640"
"hard","mmm","40","49","36","44","5","6","1","9","6","8","1715"
