"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","oliver","100","100","100","100","3","3","3","3","3","3","0"
"medium","oliver","100","82","82","82","3","3","5","3","3","3","135"
"medium","oliver","100","82","82","82","3","3","4","3","3","3","735"
"medium","oliver","98","98","0","6","4","4","5","5","6","10","915"
"medium","oliver","98","98","0","6","4","4","5","5","6","9","970"
"medium","oliver","98","98","0","6","4","4","5","5","5","9","1030"
"medium","oliver","98","98","0","6","4","4","5","5","4","9","1090"
"medium","oliver","98","98","0","6","4","4","4","5","4","9","1135"
"medium","oliver","98","98","0","6","4","4","3","5","4","9","1180"
"medium","oliver","98","98","0","6","4","4","2","5","4","9","1225"
"medium","oliver","98","98","0","6","4","4","1","5","4","9","1285"
"medium","oliver","98","98","0","6","4","4","0","5","4","9","1305"
"medium","oliver","98","98","0","6","4","4","0","5","3","9","1380"
"medium","oliver","98","98","0","6","4","4","0","4","3","9","1400"
"medium","oliver","98","98","0","6","4","3","0","4","3","9","1430"
"medium","oliver","98","98","0","6","4","2","0","4","3","9","1505"
"medium","oliver","98","98","0","6","3","2","0","4","3","9","1535"
"medium","oliver","98","98","0","6","2","2","0","4","3","9","1730"
"medium","oliver","98","98","0","6","2","2","0","4","3","8","1845"
"medium","oliver","98","98","0","6","2","2","0","3","3","8","1865"
"medium","oliver","98","98","0","6","2","2","0","2","3","8","1885"
"medium","oliver","98","98","0","6","2","2","0","2","2","8","1960"
"medium","oliver","98","98","0","6","2","2","0","1","2","8","2145"
"medium","oliver","98","98","0","6","2","2","0","1","1","8","2205"
"medium","oliver","98","98","0","6","2","2","0","1","1","7","2260"
"medium","oliver","98","98","0","6","2","2","0","1","1","6","2300"
"medium","oliver","98","98","0","6","2","2","0","1","1","5","2340"
"medium","oliver","98","98","0","6","2","2","0","1","1","4","2355"
"medium","oliver","98","98","0","6","2","2","0","1","0","4","2820"
"medium","oliver","98","98","0","6","2","2","0","0","0","4","2840"
"medium","oliver","98","98","0","6","2","2","0","0","0","3","2900"
"medium","oliver","98","98","0","6","2","2","0","0","0","2","2940"
"medium","oliver","98","98","0","6","2","2","0","0","0","1","2995"
"medium","oliver","98","98","0","6","2","2","0","0","0","0","3035"
"medium","oliver","0","10","0","0","32","12","10","8","6","11","4130"
