"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","zzzz","100","100","100","100","3","3","3","3","3","3","0"
"hard","zzzz","100","100","100","100","2","3","3","3","3","3","0"
"hard","zzzz","100","100","100","100","1","3","3","3","3","3","0"
"hard","zzzz","100","100","100","100","0","3","3","3","3","3","15"
"hard","zzzz","100","100","100","100","0","2","3","3","3","3","30"
"hard","zzzz","100","100","100","100","0","2","3","2","3","3","65"
"hard","zzzz","100","100","100","100","0","2","3","1","3","3","65"
"hard","zzzz","100","100","100","100","0","2","3","1","2","3","65"
"hard","zzzz","100","100","100","100","0","2","3","1","1","3","80"
"hard","zzzz","100","100","100","100","0","2","3","1","1","2","80"
"hard","zzzz","100","88","94","100","0","2","3","1","1","2","80"
"hard","zzzz","100","88","94","100","0","2","3","1","0","2","95"
"hard","zzzz","100","37","43","52","0","2","3","1","0","2","335"
